iter	Passed	Remaining
0	2	2924
1	8	4459
2	12	4289
3	16	4213
4	22	4436
5	26	4332
6	29	4234
7	33	4118
8	37	4175
9	41	4132
10	45	4081
11	48	4024
12	52	4020
13	56	3997
14	60	3959
15	63	3905
16	67	3897
17	71	3910
18	75	3895
19	79	3884
20	83	3869
21	87	3883
22	91	3871
23	94	3834
24	97	3800
25	101	3815
26	105	3794
27	108	3764
28	111	3734
29	115	3733
30	119	3728
31	122	3705
32	125	3684
33	128	3658
34	133	3676
35	136	3660
36	139	3637
37	142	3619
38	146	3608
39	150	3609
40	153	3595
41	156	3577
42	160	3563
43	164	3565
44	167	3558
45	170	3545
46	174	3534
47	177	3525
48	181	3525
49	185	3515
50	188	3500
51	192	3504
52	196	3515
53	200	3504
54	203	3492
55	206	3485
56	213	3530
57	217	3531
58	221	3527
59	237	3720
60	241	3711
61	246	3726
62	249	3713
63	253	3702
64	256	3688
65	261	3694
66	264	3683
67	267	3670
68	271	3658
69	274	3649
70	278	3641
71	281	3629
72	284	3615
73	288	3604
74	292	3606
75	295	3595
76	298	3582
77	302	3571
78	305	3560
79	309	3556
80	312	3549
81	315	3537
82	319	3525
83	323	3525
84	327	3523
85	330	3517
86	334	3509
87	337	3501
88	342	3502
89	345	3493
90	348	3482
91	351	3472
92	356	3473
93	359	3463
94	362	3454
95	365	3445
96	369	3439
97	373	3433
98	376	3422
99	379	3413
100	382	3404
101	386	3402
102	389	3396
103	393	3387
104	396	3376
105	399	3372
106	403	3371
107	407	3362
108	410	3352
109	413	3343
110	417	3344
111	421	3344
112	425	3337
113	428	3330
114	432	3325
115	436	3325
116	439	3317
117	442	3310
118	446	3303
119	450	3303
120	454	3298
121	457	3294
122	461	3290
123	466	3292
124	469	3288
125	473	3283
126	476	3278
127	481	3279
128	485	3275
129	488	3270
130	492	3266
131	495	3261
132	499	3259
133	503	3251
134	506	3244
135	509	3236
136	513	3236
137	517	3230
138	520	3223
139	523	3215
140	526	3207
141	530	3205
142	534	3201
143	537	3194
144	540	3187
145	544	3183
146	547	3178
147	551	3172
148	554	3165
149	557	3158
150	561	3157
151	565	3152
152	568	3145
153	571	3138
154	574	3133
155	578	3130
156	581	3123
157	584	3115
158	587	3108
159	591	3104
160	594	3100
161	598	3093
162	601	3087
163	604	3081
164	609	3086
165	613	3080
166	616	3073
167	619	3067
168	623	3066
169	627	3064
170	630	3058
171	633	3051
172	637	3045
173	641	3044
174	644	3039
175	648	3033
176	651	3029
177	655	3025
178	659	3023
179	662	3019
180	666	3015
181	669	3010
182	674	3009
183	678	3008
184	682	3005
185	685	3000
186	689	2999
187	693	2995
188	697	2991
189	700	2987
190	706	2991
191	710	2989
192	714	2986
193	718	2984
194	722	2983
195	726	2980
196	729	2974
197	733	2971
198	737	2970
199	741	2966
200	744	2961
201	748	2955
202	753	2956
203	756	2952
204	760	2947
205	763	2941
206	768	2943
207	771	2938
208	774	2932
209	778	2926
210	781	2923
211	785	2920
212	789	2915
213	792	2910
214	795	2903
215	800	2904
216	803	2899
217	806	2893
218	809	2888
219	814	2886
220	818	2884
221	821	2879
222	825	2875
223	829	2874
224	833	2872
225	837	2866
226	840	2861
227	843	2855
228	849	2858
229	852	2853
230	855	2847
231	858	2843
232	863	2841
233	866	2836
234	869	2830
235	872	2825
236	876	2821
237	880	2818
238	883	2813
239	886	2807
240	889	2802
241	893	2800
242	897	2796
243	900	2791
244	904	2786
245	907	2781
246	911	2779
247	914	2774
248	918	2769
249	921	2764
250	925	2761
251	929	2757
252	932	2752
253	935	2747
254	938	2742
255	942	2740
256	946	2735
257	949	2730
258	953	2726
259	963	2743
260	967	2738
261	970	2733
262	975	2734
263	979	2731
264	983	2726
265	986	2722
266	991	2722
267	995	2720
268	1000	2718
269	1005	2717
270	1009	2715
271	1013	2711
272	1017	2708
273	1023	2713
274	1028	2711
275	1033	2710
276	1038	2710
277	1043	2708
278	1046	2704
279	1051	2703
280	1056	2703
281	1060	2700
282	1064	2695
283	1067	2692
284	1071	2688
285	1074	2683
286	1078	2678
287	1081	2673
288	1085	2671
289	1089	2666
290	1092	2660
291	1095	2655
292	1099	2652
293	1103	2649
294	1106	2645
295	1110	2640
296	1113	2635
297	1117	2632
298	1120	2627
299	1123	2622
300	1126	2617
301	1130	2612
302	1134	2609
303	1137	2605
304	1140	2599
305	1144	2595
306	1149	2594
307	1152	2589
308	1155	2585
309	1159	2580
310	1163	2577
311	1166	2573
312	1170	2568
313	1173	2563
314	1176	2559
315	1181	2556
316	1184	2551
317	1187	2547
318	1190	2542
319	1194	2538
320	1198	2534
321	1201	2530
322	1205	2526
323	1209	2522
324	1213	2520
325	1217	2516
326	1220	2512
327	1224	2508
328	1228	2505
329	1232	2501
330	1235	2496
331	1238	2491
332	1243	2490
333	1246	2485
334	1249	2480
335	1252	2475
336	1255	2470
337	1260	2468
338	1263	2463
