"Gender","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22"
"Female",4,1,4.8,2.4,6,6,0,2,2,5,3,24,16,50,5,"B",57,"L",4069,832,160
"Male",5,1,6,6,2.4,1.2,0,5,3,4,4,26,16,10,1,"B",16,"D",8434,7748,678
"Male",2,1,4.8,3.6,6,4.8,90,3,3,5,3,47,16,40,4,"P",20,"L",3316,2834,507
"Female",3,4,6,6,6,4.8,0,5,3,4,5,48,16,40,4,"B",84,"L",301,2074,2773
"Female",3,5,4.8,6,6,4.8,0,4,1,4,5,36,25,30,3,"B",0,"L",681,2695,175
"Female",3,3,4.8,1.2,4.8,2.4,0,5,1,3,1,24,1,20,2,"B",0,"L",1827,543,319
"Female",3,3,2.4,4.8,2.4,4.8,7,2,2,3,4,37,25,30,4,"B",0,"L",6341,6243,304
"Male",3,4,6,2.4,6,4.8,8,2,1,5,4,37,4,30,1,"B",183,"D",5940,631,119
"Male",4,3,6,6,6,2.4,0,4,2,5,3,25,1,20,3,"B",39,"L",6791,542,862
"Female",3,1,3.6,4.8,4.8,6,1,4,3,4,4,54,16,50,5,"B",12,"L",1767,8174,3255
"Female",5,3,3.6,4.8,1.2,0,6,3,1,2,3,48,9,40,0,"B",0,"D",1020,2721,1119
"Male",3,2,6,3.6,2.4,0,0,3,1,5,5,21,25,50,1,"B",0,"L",7818,5060,1670
"Female",1,2,3.6,6,1.2,1.2,17,5,3,4,5,50,16,10,1,"B",2,"L",5862,8894,2549
"Female",3,3,4.8,3.6,6,3.6,70,3,1,1,4,23,1,30,3,"B",0,"D",3006,9462,1034
"Male",1,1,3.6,6,3.6,6,0,5,3,4,5,55,25,50,1,"B",0,"L",3033,4095,2938
"Female",5,3,4.8,1.2,3.6,4.8,58,2,2,3,1,52,9,40,2,"P",0,"L",4408,969,862
"Female",1,2,6,6,2.4,1.2,1,3,3,4,5,32,16,10,1,"P",0,"L",2895,2599,2454
