"Gender","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","class"
"Male",2,3,6,4.8,4.8,6,9,4,3,3,4,45,16,50,5,"P",25,"L",4354,2238,2664,"Y"
"Female",1,2,3.6,4.8,4.8,4.8,3,4,1,5,4,51,4,40,4,"B",0,"L",9945,8107,721,"Y"
"Female",5,4,6,6,4.8,4.8,57,5,1,3,5,23,9,20,4,"B",35,"D",8910,1671,802,"N"
"Male",5,3,4.8,3.6,3.6,6,0,3,1,4,5,20,25,30,1,"P",0,"L",505,7174,459,"N"
"Female",2,3,3.6,6,4.8,4.8,0,3,1,2,2,34,9,10,4,"P",0,"D",4319,9608,844,"N"
"Female",3,1,4.8,2.4,4.8,4.8,0,2,1,4,2,48,9,10,2,"B",2,"L",8825,6970,404,"N"
"Female",1,1,4.8,3.6,4.8,2.4,0,5,3,4,5,46,9,20,2,"P",0,"D",8513,3312,844,"N"
"Male",3,3,4.8,6,4.8,6,0,3,1,4,4,24,16,40,5,"B",0,"L",6233,6342,834,"Y"
"Female",5,4,6,4.8,6,3.6,0,5,1,4,3,23,16,20,3,"P",12,"D",9477,3448,1242,"Y"
"Male",5,2,6,1.2,6,1.2,3,1,3,1,1,53,4,10,1,"B",1,"L",6164,2002,3492,"N"
"Male",1,2,1.2,1.2,4.8,0,0,5,2,4,2,17,9,30,3,"B",0,"D",6394,7091,302,"N"
"Female",5,3,4.8,3.6,6,2.4,0,4,3,3,3,59,16,50,5,"P",43,"L",4213,3185,2222,"Y"
"Male",4,0,4.8,6,4.8,3.6,0,5,1,1,2,14,1,30,2,"P",0,"L",1816,7293,102,"N"
"Female",4,5,3.6,3.6,3.6,3.6,0,4,1,3,3,28,9,30,3,"B",132,"D",8461,5451,1262,"N"
"Male",4,2,4.8,3.6,6,6,0,5,1,3,2,27,16,10,2,"P",0,"L",4055,7782,1009,"N"
"Female",2,3,3.6,6,3.6,4.8,0,5,3,4,5,47,16,40,4,"P",2,"L",3907,3036,3978,"Y"
"Female",2,3,4.8,1.2,6,2.4,0,4,1,2,1,69,9,20,4,"B",130,"L",3967,3946,444,"N"
"Female",2,5,2.4,3.6,2.4,6,0,5,1,1,3,33,1,20,1,"B",9,"L",3552,2550,562,"N"
"Female",2,4,1.2,4.8,6,6,28,4,1,1,1,9,9,10,3,"B",0,"L",8678,6320,883,"N"
"Male",2,1,6,6,6,4.8,0,5,3,3,5,37,25,40,1,"B",33,"L",6464,5270,372,"Y"
"Male",2,3,3.6,4.8,1.2,0,0,5,3,5,3,20,25,30,0,"B",108,"D",7999,6639,268,"Y"
"Female",1,1,4.8,4.8,4.8,1.2,0,4,3,5,5,23,16,10,1,"P",19,"L",9530,3354,3888,"Y"
"Male",4,2,4.8,6,1.2,2.4,1,5,3,4,5,59,16,20,2,"B",0,"L",3560,8981,3672,"Y"
"Male",2,4,4.8,4.8,3.6,6,0,5,1,4,4,56,25,30,3,"P",34,"L",1994,3858,692,"N"
"Female",1,4,4.8,4.8,4.8,6,13,3,1,2,5,42,16,20,3,"B",77,"L",836,2668,361,"N"
"Male",3,3,4.8,2.4,6,3.6,112,5,1,4,4,35,4,40,3,"B",0,"D",6392,3509,1009,"N"
"Male",2,3,4.8,6,2.4,6,0,4,3,4,5,55,25,20,4,"P",15,"L",3078,3447,409,"Y"
"Male",5,2,4.8,4.8,4.8,4.8,0,4,3,4,4,45,25,40,5,"B",0,"L",6628,2635,1927,"Y"
"Male",2,2,1.2,4.8,4.8,4.8,0,4,1,1,5,25,25,40,4,"B",23,"L",3504,3108,1947,"Y"
"Female",1,4,6,3.6,4.8,2.4,0,4,3,5,3,58,9,20,2,"B",0,"L",1511,4988,354,"Y"
"Female",2,2,3.6,4.8,2.4,6,0,4,3,3,4,45,16,50,5,"B",9,"L",1940,2978,1532,"Y"
"Female",5,2,1.2,3.6,1.2,4.8,47,1,1,4,4,31,4,40,3,"B",0,"L",7130,7110,762,"N"
